 ,3D_0ROI,3D_1ROI
1,234.440,253.591
2,254.511,235.956
3,334.080,301.671
4,364.507,295.969
5,555.356,285.702
6,896.484,423.867
7,1106.756,575.116
8,1210.662,798.391
9,1239.324,971.373
10,1337.329,1020.471
11,1331.209,1053.582
12,1161.329,1073.609
13,1047.547,1139.556
14,1038.889,1127.493
15,1050.804,1060.880
16,0.000,0.000
17,0.000,0.000
18,0.000,0.000
19,0.000,0.000
20,0.000,0.000
21,0.000,0.000
22,0.000,0.000
23,0.000,0.000
24,0.000,0.000
25,0.000,0.000
26,0.000,0.000
27,0.000,0.000
28,0.000,0.000
29,0.000,0.000
30,0.000,0.000
31,0.000,0.000
32,0.000,0.000
33,0.000,0.000
34,0.000,0.000
35,0.000,0.000
36,0.000,0.000
37,0.000,0.000
38,0.000,0.000
39,0.000,0.000
40,0.000,0.000
